date,T2M,PRECTOTCORR,RH2M,WS2M,location
2020-10-04,20.76,0.36,69.87,1.26,Kisumu_Kenya
2020-10-05,20.89,6.39,73.26,0.89,Kisumu_Kenya
2020-10-06,21.01,2.0,70.65,0.94,Kisumu_Kenya
2020-10-07,20.58,4.35,74.16,1.07,Kisumu_Kenya
2020-10-08,20.78,5.11,74.12,0.85,Kisumu_Kenya
2020-10-09,20.65,9.19,76.88,1.3,Kisumu_Kenya
2020-10-10,19.81,18.28,82.43,1.15,Kisumu_Kenya
2020-10-11,19.71,40.66,82.29,0.91,Kisumu_Kenya
2020-10-12,20.22,5.58,77.44,1.11,Kisumu_Kenya
2020-10-13,20.37,8.57,78.27,1.15,Kisumu_Kenya
2020-10-14,20.46,1.97,74.7,0.93,Kisumu_Kenya
2020-10-15,20.43,0.98,74.51,1.0,Kisumu_Kenya
2020-10-16,20.0,0.72,74.99,1.11,Kisumu_Kenya
2020-10-17,19.19,17.49,83.71,0.94,Kisumu_Kenya
2020-10-18,19.12,13.31,82.21,1.46,Kisumu_Kenya
2020-10-19,19.09,11.93,85.03,1.08,Kisumu_Kenya
2020-10-20,19.54,15.79,84.42,1.08,Kisumu_Kenya
2020-10-21,20.31,14.44,81.31,0.81,Kisumu_Kenya
2020-10-22,20.69,4.1,75.99,1.19,Kisumu_Kenya
2020-10-23,20.45,1.23,77.68,0.98,Kisumu_Kenya
2020-10-24,20.49,1.64,77.06,1.11,Kisumu_Kenya
2020-10-25,19.96,17.06,82.4,0.62,Kisumu_Kenya
2020-10-26,19.78,4.34,83.89,1.5,Kisumu_Kenya
2020-10-27,19.05,12.03,83.65,0.88,Kisumu_Kenya
2020-10-28,19.94,37.25,81.0,1.19,Kisumu_Kenya
2020-10-29,19.29,16.4,83.51,1.78,Kisumu_Kenya
2020-10-30,19.3,4.89,77.64,1.86,Kisumu_Kenya
2020-10-31,20.13,34.67,77.03,1.1,Kisumu_Kenya
2020-11-01,20.52,3.41,76.14,0.76,Kisumu_Kenya
2020-11-02,20.48,4.53,75.68,2.32,Kisumu_Kenya
2020-11-03,20.49,18.32,79.33,2.6,Kisumu_Kenya
2020-11-04,20.42,10.36,79.19,2.44,Kisumu_Kenya
2020-11-05,20.58,31.7,77.8,2.01,Kisumu_Kenya
2020-11-06,19.75,65.4,85.32,1.11,Kisumu_Kenya
2020-11-07,20.25,7.9,82.78,0.71,Kisumu_Kenya
2020-11-08,20.62,4.23,77.41,0.97,Kisumu_Kenya
2020-11-09,20.04,19.44,83.52,1.14,Kisumu_Kenya
2020-11-10,19.78,5.5,77.78,3.01,Kisumu_Kenya
2020-11-11,19.73,2.66,79.9,2.3,Kisumu_Kenya
2020-11-12,19.87,2.21,76.58,2.14,Kisumu_Kenya
2020-11-13,20.21,15.29,78.07,2.21,Kisumu_Kenya
2020-11-14,20.27,27.34,80.36,2.05,Kisumu_Kenya
2020-11-15,20.37,3.39,75.12,1.84,Kisumu_Kenya
2020-11-16,20.24,4.58,78.78,1.75,Kisumu_Kenya
2020-11-17,20.16,7.89,77.04,2.34,Kisumu_Kenya
2020-11-18,19.73,1.61,71.92,2.35,Kisumu_Kenya
2020-11-19,20.18,1.7,74.22,2.03,Kisumu_Kenya
2020-11-20,20.38,8.13,76.79,1.45,Kisumu_Kenya
2020-11-21,20.27,1.03,71.84,2.37,Kisumu_Kenya
2020-11-22,20.7,1.8,75.07,1.9,Kisumu_Kenya
2020-11-23,21.09,2.72,74.67,1.53,Kisumu_Kenya
2020-11-24,21.02,6.39,77.98,1.81,Kisumu_Kenya
2020-11-25,20.33,23.42,80.56,0.73,Kisumu_Kenya
2020-11-26,20.28,5.52,80.55,0.81,Kisumu_Kenya
2020-11-27,20.88,12.77,79.74,1.18,Kisumu_Kenya
2020-11-28,20.98,9.42,78.84,2.01,Kisumu_Kenya
2020-11-29,20.15,15.76,81.4,1.57,Kisumu_Kenya
2020-11-30,19.73,12.55,80.4,1.41,Kisumu_Kenya
2020-12-01,19.84,0.42,69.5,1.89,Kisumu_Kenya
2020-12-02,19.71,0.12,71.43,2.63,Kisumu_Kenya
2020-12-03,19.42,0.26,74.26,3.36,Kisumu_Kenya
2020-12-04,19.67,0.57,72.66,2.27,Kisumu_Kenya
2020-12-05,20.16,1.57,74.14,1.78,Kisumu_Kenya
2020-12-06,20.49,0.59,71.97,1.35,Kisumu_Kenya
2020-12-07,20.57,0.28,69.62,1.54,Kisumu_Kenya
2020-12-08,20.8,22.65,74.77,1.89,Kisumu_Kenya
2020-12-09,19.48,1.54,74.46,3.66,Kisumu_Kenya
2020-12-10,19.79,3.65,72.99,3.13,Kisumu_Kenya
2020-12-11,19.4,0.8,71.7,3.45,Kisumu_Kenya
2020-12-12,19.66,0.83,70.4,2.34,Kisumu_Kenya
2020-12-13,19.2,0.64,69.49,2.57,Kisumu_Kenya
2020-12-14,18.87,0.0,66.4,2.48,Kisumu_Kenya
2020-12-15,19.68,0.02,64.96,1.32,Kisumu_Kenya
2020-12-16,20.21,0.31,65.25,1.12,Kisumu_Kenya
2020-12-17,20.02,3.78,74.21,2.16,Kisumu_Kenya
2020-12-18,19.81,1.27,73.31,2.38,Kisumu_Kenya
2020-12-19,20.06,0.34,69.26,1.87,Kisumu_Kenya
2020-12-20,20.31,1.76,73.27,1.7,Kisumu_Kenya
2020-12-21,20.49,1.32,72.74,1.99,Kisumu_Kenya
2020-12-22,20.56,2.08,71.38,2.64,Kisumu_Kenya
2020-12-23,19.96,0.93,71.53,2.9,Kisumu_Kenya
2020-12-24,20.57,4.5,72.56,2.13,Kisumu_Kenya
2020-12-25,20.65,1.1,68.52,1.59,Kisumu_Kenya
2020-12-26,20.38,0.26,68.78,2.84,Kisumu_Kenya
2020-12-27,19.42,0.0,64.56,3.89,Kisumu_Kenya
2020-12-28,18.68,0.0,62.47,3.85,Kisumu_Kenya
2020-12-29,19.81,0.1,67.42,2.98,Kisumu_Kenya
2020-12-30,20.09,10.12,71.38,3.06,Kisumu_Kenya
2020-12-31,20.2,18.66,78.12,2.13,Kisumu_Kenya
2021-01-01,19.75,22.2,76.28,1.61,Kisumu_Kenya
2021-01-02,19.78,3.0,74.23,2.41,Kisumu_Kenya
2021-01-03,19.85,6.39,74.52,1.8,Kisumu_Kenya
2021-01-04,19.26,3.66,71.9,2.17,Kisumu_Kenya
2021-01-05,19.7,1.3,68.63,2.14,Kisumu_Kenya
2021-01-06,19.9,0.72,71.7,2.1,Kisumu_Kenya
2021-01-07,19.8,0.02,66.26,2.32,Kisumu_Kenya
2021-01-08,19.93,0.91,70.85,1.06,Kisumu_Kenya
2021-01-09,19.87,0.19,75.29,1.57,Kisumu_Kenya
2021-01-10,18.95,0.6,76.88,1.97,Kisumu_Kenya
2021-01-11,19.61,3.72,72.38,1.38,Kisumu_Kenya
2021-01-12,19.57,8.63,76.1,1.76,Kisumu_Kenya
2021-01-13,19.83,3.4,72.93,2.13,Kisumu_Kenya
